============================
Title : Lok Sabha 2024
Tags  : #
Descr :
============================

Lok Sabha Elections 2024 Ranking                      : 18th
Elections were conducted in                           : 7 phases
Election Commission tagline                           : Chunav Ka Parv, Desh Ka Garv
Election Commission's national icon                   : Sachin Tendulkar
Election Commission's youth icon                      : Ayushmann Khurrana

Election Commission's Divyaang icon                   : Sheetal Devi
Current number of seats in Lok Sabha                  : 545
Elections were held for                               : 543 Seats (State : 524, UT : 19)
Number of seats for absolute majority                 : 272
Total number of registered voters                     : 96.8 crore

Number of male and female voters                      : 49.7 and 47.1 crore
Number of voters participating in the election        : 64.2 crore
Number of female voters participating in the election : 31.2 crore
Current voter sex ratio of India                      : 948
Total percentage of voting                            : 65.79%

Apps released by Election Commission                  : VHA, cVIGIL, KYC
Portals released by Election Commission               : Suvidha
Number of women MPs elected in 18th Lok Sabha         : 74
Number of MPs elected for the first time              : 280
Out of 53 ministers, emerged victorious               : 35

Highest percentage of voting                          : Lakshadweep (84%)
Least percentage of voting                            : Bihar (56%)
NOTA got the highest votes                            : Indore (2.18 lakh)
Narendra Modi's swearing-in as Prime Minister         : June 9, 2024
Heads of countries attended the swearing ceremony     : 7

Total number of parties elected in 18th Lok Sabha     : 41
MP elected unopposed                                  : Mukesh Dalal (BJP, Surat seat)
Youngest tribal woman to become MP                    : Priyanka Jarkiholi
Won by the highest margin of votes                    : Shankar Lalwani
Won by the lowest margin of votes                     : Ravindra Dataram Waikar

Youngest MP                                           : Pushpendra Saroj (Kaushambi seat, 25 years)
Oldest MP                                             : Thalaikottai Rajuthevar Balu (DMK, 82 years)
Won the only seat in Ladakh                           : Haji Hanifa (Independent)

