============================
Title : 
Tags  : #
Descr :
============================

√2  = 1.4142
√3  = 1.7321
√5  = 2.2361
√6  = 2.4495
√7  = 2.6458
√8  = 2.8284
√10 = 3.1623
√12 = 3.4641
√15 = 3.8730

√18 = 4.2426
√20 = 4.4721
√24 = 4.8990
√27 = 5.1962
√28 = 5.2915
√30 = 5.4772

√40 = 6.3246
√45 = 6.7082
√48 = 6.9282
√50 = 7.0711
√54 = 7.3485
√60 = 7.7460

√70 = 8.3666
√72 = 8.4853
√75 = 8.6603
√80 = 8.9443
√90 = 9.4868
√95 = 9.7468

√125 = 11.1803
√150 = 12.2474
√200 = 14.1421
√250 = 15.8114
√300 = 17.3205

