============================
Title : 
Tags  : #
Descr :
============================

ARTICLE  CLAUSE        DESCRIPTION
------------------------------------------------------------

1        (1)           India, that is Bharat shall be a union of states

2                      + New states

3                      Edit states
         (a)           by separation of territory
         (b)           ↑ area
         (c)           ↓ area
         (d)           alter the boundaries
         (e)           alter the name of any State

5        (a)           born in territory of India
         (b)           either his parents was born in territory of India
         (c)           Ordinary resident 5+years

6                      Migrated to India from Pakistan
8                      Person of Indian origin residing outside India
9                      Akshay Kumar
10                     Continuance
11                     Parliament to regulate
13                     Laws inconsistent with or in derogation of the FR
14                     Equality before law

15                     The state shall not discriminate…
         (2)(b)        The use of wells, tanks, bathing ghats, roads…
         (3)           Special provision for women and children
         (4)           + Edu bc, SC/ST

16                     Equal opportunity in public employment
         (3)           Nothing in this article

17                     Untouchability

18                     Abolition of titles
         (1)           No title except military or academic distinction
         (2)           No citizen shall accept title from foreign State

19       (1)           All citizens shall have the right
           (a)         freedom of speech and expression
           (b)         assemble peaceably and without arms
           (c)         form associations or unions or co-operative societies
           (d)         move freely throughout India
           (e)         reside and settle in any part
           (g)         practice any profession, occupation, trade or business
         (2)           Restriction for (a)
         (3)           for (b)
         (4)           for (c)
         (5)           for (d) & (e)
         (6)           for (g)

20       (1)           at time of the act
         (2)           for same offence twice
         (3)           witness against himself

21                     Protection of Life and personal liberty
21A                    Right to education
23                     Prohibition of traffic in human beings and forced labour
24                     Prohibition of employment of children under fourteen years
29                     Protection of interests of minorities
32                     Remedies for enforcement of rights

33       (a)           Members of armed forces
         (b)           Forces maintaining public order
         (c)           bureau or org.
         (d)           telecommunication systems for forces
34                     Martial Law
36                     DPSP
37                     Application of principles
38                     Social order for welfare

39                     Certain principles of policy
         (a)           adequate means of livelihood
         (b)           material resources for common good
         (c)           no concentration of wealth
         (d)           equal pay for equal work
         (e)           health and strength of workers not abused

40                     Organization of village panchayats
41                     Right to work, education, public assistance
42                     Humane work conditions and maternity relief
43                     Living wage
43A                    Participation of workers
43B                    Promotion of co-operative societies
44                     UCC
45                     Early childhood care
46                     Promotion of SC/ST and weaker sections
47                     Nutrition and public health
48                     Agriculture and animal husbandry
48A                    Protection of environment
49                     Protection of monuments
50                     Separation of judiciary

51       (a)           promote international peace
         (b)           maintain relations
         (c)           respect international law
         (d)           settlement by arbitration

51A      (a)           respect constitution, flag, anthem
         (b)           cherish ideals
         (c)           uphold sovereignty
         (d)           defend country
         (e)           promote harmony
         (f)           preserve heritage
         (g)           protect environment
         (h)           scientific temper
         (i)           safeguard public property
         (j)           strive towards excellence
         (k)           provide education to child 6-14

52                     President of India
53                     Executive power of Union
54                     Election of president
55                     Manner of election
56                     Term of office
         (c)           removal by impeachment
57                     Eligibility of re-election
58                     Qualifications
59                     Conditions of office
60                     Oath
61                     Impeachment procedure
62                     Time of election
63                     Vice President
64                     VP as chairman of council of states
65                     Act as president in absence
66                     Election of VP
67                     Term of VP
68                     Time of election
69                     Oath of VP
70                     Discharge of president functions
71                     Matters relating to election
72                     Power to grant pardon
73                     Extent of executive power
74                     Council of ministers
75                     Provisions as to ministers
76                     Attorney-General
77                     Conduct of business
78                     Duties of PM

84                     Qualification of membership of Parliament
89                     Chairman and deputy chairman (RS)
93                     Speaker and deputy speaker (LS)
98                     Secretariat of Parliament

102      (a)           office of profit
         (b)           unsound mind
         (c)           undischarged insolvent
         (d)           not citizen
         (e)           disqualified by law

107                    Passing of Bills
108                    Joint sitting
109                    Money bills procedure
110                    Definition of money bill
111                    Assent to bills
112                    Annual financial statement
113                    Procedure for estimates
114                    Appropriation Bills
115                    Supplementary grants
116                    Votes on account
117                    Financial Bills
118                    Rules of procedure
120                    Language in Parliament
121                    Restriction on discussion
122                    Courts not to inquire
123                    Ordinance power

124                    Supreme Court
141                    Law declared binding
143                    Consult Supreme Court
148                    CAG
153                    Governors
154                    Executive power of state
155                    Appointment of governor
165                    Advocate General
167                    CM to inform governor
169                    Legislative councils
213                    Governor ordinance
214                    High courts
239                    UT administration
241                    High courts for UT

243      A             Gram Sabha
         B             Constitution of Panchayats
         C             Composition
         D             Reservation
         E             Duration
         F             Disqualification
         G             Powers
         H             Taxes
         I             Finance Commission
         J             Audit
         K             Elections
         L             Application to UT
         M             Not apply to certain areas
         O             Bar to court interference

243P                   Municipalities definitions
243Q                   Constitution
         R             Composition
         T             Reservation
         U
         V             Disqualification
         W             Powers
         X             Taxes
         Y             Finance commission
         Z             Audit
         ZA            Elections
         ZD            District planning
         ZE            Metropolitan planning
         ZG            Bar to court interference

247                    Additional court
262                    Inter state water
263                    Inter state council
266                    Consolidated fund
267                    Contingency fund
269A                   GST
280                    Finance Commission
292                    Borrowing by centre
293                    Borrowing by state
312                    All India Service
324                    EC
325                    Not to discriminate
326                    Adult franchise
330                    SC/ST reservation LS
330A
332                    SC/ST reservation state
332A
338                    National commission SC
338A                   NC for ST
338B                   NC for BC
341                    Schedule Caste
342                    ST
343                    Official Language of Union
345                    Of state
352                    Emergency
355                    Duty of centre
356                    Failure of state machinery
360                    Financial emergency
